,205,296,387,569,751,933
2000,1076.7,1074.2,1068.2,1001.1,994.6,940.8
2100,978.8,977.3,972.5,908.2,903.7,852.3
2200,881.5,881.3,877.9,816.9,814.7,766.2
2300,785,786.5,784.8,727.7,728,683.1
2400,689.7,693.3,693.6,641.1,644.2,603.5
2500,596.2,602.3,604.7,557.9,564.3,528.3
2550,550.2999878,557.7999878,561.5,517.7000122,525.7000122,492.2999878
2600,505.1000061,514.0999756,519.0999756,478.7000122,488.6000061,457.7999878
2650,460.7000122,471.2999878,477.7000122,440.7999878,452.2999878,424.6000061
2700,417.2999878,429.6000061,437.5,404.3999939,417.6000061,393.1000061
2750,374.8999939,389,398.5,369.2000122,384.1000061,362.7000122
2800,333.8999939,349.7000122,360.7000122,335.6000061,352,333.8999939
2850,294.5,312,324.7000122,303.3999939,321.5,306.5
2900,256.7000122,276.1000061,290.2000122,272.7999878,292.6000061,280.5
2950,221.1999969,242,257.5,244.1000061,265.1000061,256
3000,187.8999939,210,226.6000061,217.1000061,239.6999969,232.8000031
3050,157.1999969,180.3999939,197.6999969,191.8999939,215.6000061,211.3999939
3100,129.1999969,153.1999969,170.8999939,168.6000061,193.3000031,191.1999969
3150,104.1999969,128.1999969,146.1999969,147.3999939,172.6999969,172.6000061
3200,82.30000305,106,124,128,153.6000061,155.5
3250,63.5,86.30000305,104,110.5,136.1000061,139.6000061
3300,47.90000153,69.19999695,86.40000153,94.80000305,120.4000015,125.0999985
3350,35.59999847,54.70000076,71,80.90000153,105.9000015,111.8000031
3400,25.79999924,42.59999847,57.79999924,68.69999695,92.80000305,99.69999695
3450,18.29999924,32.8,46.59999847,57.90000153,81.09999847,88.69999695
3500,12.80000019,25,37.20000076,48.5,70.69999695,78.59999847
3550,8.899999619,18.9,29.39999962,40.20000076,61.40000153,69.90000153
3600,6.199999809,14.2,23.10000038,33.29999924,53.29999924,61.70000076
3650,4.199999809,10.6,17.89999962,27.39999962,46,54.40000153
3700,2.900000095,7.9,13.89999962,22.39999962,39.70000076,48.09999847
3750,2,5.9,10.60000038,18.29999924,34.09999847,42.40000153
3800,1.4,4.4,8.1,15,29.4,37.3
3900,0.7,2.5,4.6,10.1,21.8,28.9
4000,0.4,1.4,2.6,6.8,16.2,22.4
4100,0.2,0.8,1.5,4.8,12.1,17.4
4200,0.1,0.5,0.8,3.4,9.1,13.5
4300,0.1,0.3,0.5,2.5,6.8,NA
4400,0.1,0.2,0.3,2,5.1,NA
