,23,51,79,107,141,170
2000,1162.4,1161.2,1153.2,1152.3,1141.7,1099.8
2100,1062.4,1061.3,1053.5,1052.9,1042.8,1001.4
2200,962.5,961.5,954.1,953.9,944.2,903.5
2300,862.5,861.8,854.8,855.51,846.1,NA
2400,762.7,762.3,755.9,756.9,748.8,710
2500,662.9,663,657.5,659.4,652.5,615.2
2600,563.4,564.1,559.9,563.1,557.7,522.4
2700,464,465.9,463.7,468.8,465.1,432.4
2800,365.4,369.6,370,377.2,375.9,346.3
2875,292.3999939,299.2999878,302.2999878,311.2999878,312,285.2999878
2900,268.3999939,276.5,280.2999878,290,291.5,265.7000122
2925,244.6999969,254,258.7999878,269.1000061,271.3999939,246.6999969
2950,221.3999939,231.8999939,237.6999969,248.6999969,251.6999969,228.1000061
2975,198.5,210.3000031,217.1000061,228.8000031,232.6000061,210.1999969
3000,176,189.3000031,197.1000061,209.5,214,192.8000031
3025,154.3000031,168.8999939,177.8000031,190.8000031,196,176.1000061
3050,133.3000031,149.3000031,159.1999969,172.8000031,178.6999969,160.1000061
3075,113.3000031,130.6000061,141.3999939,155.5,162.1000061,144.6999969
3100,94.40000153,112.9000015,124.5,138.8999939,146.3000031,130.1000061
3125,77,96.19999695,108.5999985,123.1999969,131.1999969,116.1999969
3150,61.29999924,80.80000305,93.69999695,108.4000015,116.9000015,103.1999969
3175,47.40000153,66.69999695,79.90000153,94.5,103.4000015,91.09999847
3200,35.40000153,54,67.30000305,81.59999847,90.80000305,79.90000153
3225,25.5,42.90000153,55.90000153,69.90000153,79.19999695,69.59999847
3250,17.70000076,33.40000153,45.90000153,59.20000076,68.59999847,60.29999924
3275,11.80000019,25.5,37.20000076,49.59999847,58.90000153,51.90000153
3300,7.699999809,19.10000038,29.70000076,41.09999847,50.20000076,44.40000153
3325,4.800000191,14,23.39999962,33.59999847,42.40000153,37.70000076
3350,3,10.10000038,18.20000076,27.29999924,35.5,31.79999924
3375,1.799999952,7.099999905,13.89999962,22,29.5,26.70000076
3400,1.100000024,5,10.60000038,17.5,24.29999924,22.29999924
3425,0.699999988,3.400000095,8,13.89999962,19.89999962,18.60000038
3450,0.400000006,2.400000095,6,10.89999962,16.20000076,15.39999962
3475,0.300000012,1.600000024,4.5,8.5,13.10000038,12.69999981
3500,0.2,1.1,3.3,6.6,10.5,10.4
3600,0.1,0.3,1.1,2.4,4.3,4.7
3700,0.1,0.1,0.4,1,1.8,2.1
3800,0.1,0.1,0.1,0.4,0.9,1
3900,0.1,0.1,0.1,0.2,0.4,0.5
4000,0.1,0.1,0.1,0.2,0.3,0.2
4100,0.1,0.1,0.1,0.1,0.2,0.2
4200,0.1,0.1,0.1,0.1,0.1,0.2
4300,0.1,0.1,0.1,0.1,0.1,0.1
4400,0.1,0.1,0.1,0.1,0.1,0.1
