"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"27.11.2018","Tue","2.17850","2.23494","2.34931","2.49900","2.70600","2.88444","3.13075"
"26.11.2018","Mon","2.18300","2.21900","2.33675","2.49525","2.70681","2.89275","3.12838"
"23.11.2018","Fri","2.17700","2.22188","2.32188","2.49538","2.69119","2.88625","3.12075"
"22.11.2018","Thu","","2.22213","2.31488","2.48013","2.68925","2.88725","3.10950"
"21.11.2018","Wed","2.18050","2.22100","2.31513","2.47313","2.67694","2.88588","3.11038"
"20.11.2018","Tue","2.17288","2.21638","2.30550","2.45850","2.65313","2.86325","3.09713"
"19.11.2018","Mon","2.18075","2.21725","2.30025","2.45769","2.64581","2.86575","3.10738"
"16.11.2018","Fri","2.17538","2.21225","2.30088","2.45213","2.64450","2.86263","3.12363"
"15.11.2018","Thu","2.17938","2.21125","2.30250","2.44913","2.64000","2.86019","3.11838"
"14.11.2018","Wed","2.17575","2.20963","2.31038","2.44531","2.62900","2.86344","3.12963"
"13.11.2018","Tue","2.17788","2.21613","2.30650","2.44413","2.61613","2.85500","3.13206"
"12.11.2018","Mon","","2.21550","2.30663","2.44525","2.61413","2.85538","3.13475"
"09.11.2018","Fri","2.17500","2.21913","2.31438","2.45513","2.61813","2.85800","3.14413"
"08.11.2018","Thu","2.17988","2.21619","2.31844","2.45863","2.61463","2.85763","3.14075"
"07.11.2018","Wed","2.17725","2.21588","2.31531","2.44550","2.60113","2.84350","3.12513"
"06.11.2018","Tue","2.17663","2.21138","2.31688","2.42863","2.59125","2.84150","3.11638"
"05.11.2018","Mon","2.17525","2.21425","2.31600","2.42950","2.58925","2.83575","3.11688"
"02.11.2018","Fri","2.17463","2.21400","2.31788","2.42625","2.59238","2.82888","3.10488"
"01.11.2018","Thu","2.17538","2.21788","2.31356","2.41800","2.58150","2.81650","3.09613"
"31.10.2018","Wed","2.17300","2.21238","2.30688","2.39638","2.55850","2.80013","3.08375"
"30.10.2018","Tue","2.18000","2.22925","2.29938","2.39338","2.54100","2.79625","3.07088"
"29.10.2018","Mon","2.17888","2.22625","2.30200","2.39106","2.52663","2.78175","3.06375"
"26.10.2018","Fri","2.17675","2.21838","2.29669","2.38531","2.52038","2.77675","3.05675"
"25.10.2018","Thu","2.17425","2.21950","2.29494","2.37975","2.50925","2.77413","3.05175"
"24.10.2018","Wed","2.17513","2.21031","2.29406","2.36463","2.50800","2.75975","3.03938"
"23.10.2018","Tue","2.17388","2.21688","2.28138","2.35613","2.48988","2.74756","3.03438"
"22.10.2018","Mon","2.17063","2.21206","2.28650","2.36113","2.48738","2.72931","3.03100"
"19.10.2018","Fri","2.17113","2.21400","2.28188","2.35538","2.47719","2.72350","3.02038"
"18.10.2018","Thu","2.17025","2.21319","2.27963","2.34838","2.46900","2.69413","3.00056"
"17.10.2018","Wed","2.17600","2.20913","2.28200","2.33350","2.44963","2.66138","2.96575"
"16.10.2018","Tue","2.17638","2.21531","2.28713","2.33575","2.44456","2.65750","2.96713"
"15.10.2018","Mon","2.17725","2.21931","2.28950","2.34400","2.44881","2.65375","2.96681"
"12.10.2018","Fri","2.16938","2.20350","2.27975","2.33413","2.43644","2.65213","2.96338"
"11.10.2018","Thu","2.17225","2.20888","2.27950","2.33075","2.43631","2.63525","2.95425"
"10.10.2018","Wed","2.17200","2.20250","2.28319","2.32250","2.42519","2.63625","2.96913"
"09.10.2018","Tue","2.16550","2.21500","2.28713","2.31400","2.42044","2.62900","2.96200"
"08.10.2018","Mon","","2.20700","2.28406","2.32175","2.41425","2.62600","2.95788"
"05.10.2018","Fri","2.17175","2.20788","2.27669","2.31875","2.40806","2.62288","2.95831"
